FID_,DESA,KECAMATAN,KABUPATEN,PROPINSI,LUAS,MI_PRINX
,Gunungsari,Wonosegoro,Boyolali,Jawa Tengah,6.269700000000000,19480.000000000000000
,Repaking,Wonosegoro,Boyolali,Jawa Tengah,8.956600000000000,19481.000000000000000
,Krobokan,Juwangi,Boyolali,Jawa Tengah,13.061800000000000,19482.000000000000000
,Ngaren,Juwangi,Boyolali,Jawa Tengah,11.374599999999999,19483.000000000000000
,Kalimati,Juwangi,Boyolali,Jawa Tengah,14.838600000000000,19484.000000000000000
,Sambeng,Juwangi,Boyolali,Jawa Tengah,10.719300000000000,19485.000000000000000
,Cerme,Juwangi,Boyolali,Jawa Tengah,14.302400000000000,19486.000000000000000
,Manjung,Sawit,Boyolali,Jawa Tengah,0.975800000000000,19325.000000000000000
,Kateguhan,Sawit,Boyolali,Jawa Tengah,1.726700000000000,19326.000000000000000
,Bendosari,Sawit,Boyolali,Jawa Tengah,2.530200000000000,19327.000000000000000
,Jatirejo,Sawit,Boyolali,Jawa Tengah,1.565700000000000,19328.000000000000000
,Kemasan,Sawit,Boyolali,Jawa Tengah,0.986900000000000,19329.000000000000000
,Tlawong,Sawit,Boyolali,Jawa Tengah,0.642300000000000,19330.000000000000000
,Jenengan,Sawit,Boyolali,Jawa Tengah,1.126800000000000,19331.000000000000000
,Cepokosawit,Sawit,Boyolali,Jawa Tengah,1.695400000000000,19332.000000000000000
,Guwokajen,Sawit,Boyolali,Jawa Tengah,1.039100000000000,19333.000000000000000
,Karang Duren,Sawit,Boyolali,Jawa Tengah,2.720900000000000,19334.000000000000000
,Dukuh,Banyudono,Boyolali,Jawa Tengah,1.187000000000000,19335.000000000000000
,Jipangan,Banyudono,Boyolali,Jawa Tengah,1.839800000000000,19336.000000000000000
,Jembungan,Banyudono,Boyolali,Jawa Tengah,2.449200000000000,19337.000000000000000
,Juwangi,Juwangi,Boyolali,Jawa Tengah,13.217900000000000,19487.000000000000000
,Pilangrejo,Juwangi,Boyolali,Jawa Tengah,4.083200000000000,19488.000000000000000
,Jerukan,Juwangi,Boyolali,Jawa Tengah,13.998400000000000,19489.000000000000000
,Kayen,Juwangi,Boyolali,Jawa Tengah,10.733499999999999,19490.000000000000000
,Ngleses,Juwangi,Boyolali,Jawa Tengah,5.224600000000000,19491.000000000000000
,Sambon,Banyudono,Boyolali,Jawa Tengah,3.238800000000000,19338.000000000000000
,Kuwiran,Banyudono,Boyolali,Jawa Tengah,2.229100000000000,19339.000000000000000
,Cangkringan,Banyudono,Boyolali,Jawa Tengah,1.096600000000000,19340.000000000000000
,Ngaru-aru,Banyudono,Boyolali,Jawa Tengah,1.468300000000000,19341.000000000000000
,Bendan,Banyudono,Boyolali,Jawa Tengah,0.822100000000000,19342.000000000000000
,Ketaon,Banyudono,Boyolali,Jawa Tengah,1.600300000000000,19343.000000000000000
,Banyudono,Banyudono,Boyolali,Jawa Tengah,1.392700000000000,19344.000000000000000
,Batan,Banyudono,Boyolali,Jawa Tengah,1.943500000000000,19345.000000000000000
